Occupation,Hydrogen Capabilities,Value Chain,Technology
Commissioning Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Maintenance of vessels, compressors, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Chemical Process Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Chemical Laboratory Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Mechanical Technician,"Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Maintenance Technician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Knowledge of appropriate materials, seals, and coatings; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Maintenance of mechanical equipment to withstand hydrogen pressure and temperatures; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Test Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Cylinder Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
HVAC Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Electrolyser Technician,Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ,Hydrogen Production ,<not_included>
Refueling Techician,"Maintenance of vessels, compressors, piping systems and fitting, valves, and such to withstand hydrogen pressure and temperatures; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Utility Service Technician,"Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Instrumentation Technician,"Appropriate selection and maintenance of key instrumentation equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Mechatronics Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Materials Technician,"Knowledge of appropriate materials, seals, and coatings; Knowledge of appropriate materials, seals, and coatings.1; Hydrogen properties, behaviour, and potential hazards created; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Marine Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Electrochemical Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Production ,<not_included>
Safety Technician,"Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
System Integration Technician,,Hydrogen Production ,<not_included>
Operation Technician,"Operating the machine and equipment used to drill hydrogen injection wells and monitoring wells in deep isolated rock formations; Hydrogen properties, behaviour, and potential hazards created; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Renewable Energy Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
Welder,Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ,Hydrogen Production ,<not_included>
Assembly Technician,,Hydrogen Production ,<not_included>
Manufacturing Production Technician,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen Production ,<not_included>
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Locomotive Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Electrician,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Drilling Crew,Operating the machine and equipment used to drill hydrogen injection wells and monitoring wells in deep isolated rock formations,Hydrogen Production ,<not_included>
Reservoir Technoligist,"Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Understanding reservoir data as it relates to hydrogen injection and storage; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Compression Station Operator,,Hydrogen Production ,<not_included>
Control Room Operator,"Understanding electrochemical reactions, processes, and hydrogen production processes; Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Well Completions Operator,"Understanding the properties and characteristics of hydrogen in a liquid and gaseous state ; Understanding appropriate wellcompletion solutions for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Plant Operator,"Understanding electrochemical reactions, processes, and hydrogen production processes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Utility Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Heavy-duty Mechanic (Duel Fuel),"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>
Truck Driver,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Gas Fitter,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen Production ,<not_included>
Fitter and Turner,"Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with an electrolyser hydrogen production plant; Appropriate selection and maintenance of electrical equipment and instrumentation systems required for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen Production ,<not_included>