core_occupation,Advanced Utilization Techniques,Advantages and Disadvantages,Ensuring Process Compliance and Optimization,Environmental and Efficiency Considerations,Environmental and Regulatory Compliance,Functional Testing of Equipment,Gaining Acceptance for New Hydrogen Sites,Hazardous Area Requirements,Impact of Gas Interchangeability on Systems,Integration of High-Voltage Systems with Hydrogen Production,Maintenance and Monitoring,Material Selection for Risk Reduction,New Market Opportunities,Property Risks of Hydrogen,Reducing Carrying Costs and Idle Time,Related Systems for Hydrogen Stabilization,Safety and Operational Planning,Standards and Protocols for Testing,Storage of Compressed Hydrogen,Storage of Hydrogen Carriers,Storage of Liquid Hydrogen,System Enhancements,System Modifications and Upgrades,Taxonomy nan,Troubleshooting and Optimization,Undertaking Fuel Cell Replacement,Category
Applications engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Test validation engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Product engineer,4,2,18,2,0,7,8,2,0,0,11,2,1,7,0,2,8,11,15,0,12,0,0,1,4,0,Engineer
Design engineer - Electrical & instrumentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Design engineer- Mechanical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Drilling & completion engineer,0,1,0,0,1,0,0,0,0,0,0,10,6,29,0,0,26,6,0,0,9,0,0,1,3,0,Engineer
Electrical & instrumentation engineer,0,9,23,36,22,83,0,1,0,25,8,23,0,38,0,8,31,2,24,0,15,15,0,6,27,0,Engineer
Data engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Electrical engineer,0,2,2,0,0,5,0,0,0,27,8,4,0,10,0,0,0,0,0,0,0,1,0,2,18,0,Engineer
Facility engineer,5,24,59,71,11,74,6,0,1,2,33,22,3,35,0,1,23,16,17,0,5,4,0,5,34,0,Engineer
Hydraulics engineer,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0,0,0,0,0,Engineer
Reservoir engineer,6,2,0,2,32,0,0,10,1,0,0,29,5,17,0,6,8,28,0,3,23,1,0,0,3,0,Engineer
Quality engineer,4,1,21,2,0,21,8,1,0,0,11,5,0,7,0,2,10,8,16,0,11,0,0,1,4,0,Engineer
Process engineer,3,6,31,61,6,23,10,7,2,1,2,25,4,43,0,22,30,17,11,0,29,5,0,4,20,0,Engineer
Production engineer,0,8,21,54,2,0,0,0,2,0,0,9,0,20,0,0,0,0,0,0,2,0,0,3,0,0,Engineer
Process control engineer,4,23,52,60,10,30,10,7,1,5,27,27,4,35,0,23,35,17,10,0,25,44,0,5,31,0,Engineer
Pipeline engineer,0,0,0,1,7,0,0,0,0,0,0,20,0,48,0,0,70,22,4,0,7,0,0,1,0,0,Engineer
Process safety engineer,6,12,130,6,18,168,48,62,0,0,12,104,26,30,0,36,140,108,30,2,90,48,0,0,126,0,Engineer
Welding engineer,0,2,13,1,0,12,8,7,0,0,2,15,4,16,0,6,20,22,6,0,14,4,0,1,9,0,Engineer
Mechanical engineer - Compression,0,3,2,2,0,0,0,0,0,0,0,3,0,5,0,0,2,0,46,0,0,0,0,1,0,0,Engineer
Mechatronics engineer - Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Mechanical engineer - Reliability,6,8,45,48,12,80,14,22,0,2,90,44,5,35,0,14,337,17,71,0,26,26,0,5,37,0,Engineer
Cavern engineer,0,0,0,1,0,1,0,7,0,0,0,8,3,22,0,4,4,7,2,1,18,0,0,1,0,0,Engineer
Mechanical engineer - Equipment & piping,7,9,43,40,13,62,14,23,0,3,103,47,7,36,1,14,336,27,98,2,22,14,0,5,60,0,Engineer
Locomotive engineer,2,6,2,0,3,1,0,0,0,0,0,2,4,5,6,0,0,0,0,0,0,0,3,1,6,14,Engineer
"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
Chemical/Process engineer,0,9,10,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,Engineer
In-service pressure equipment inspector,0,2,8,1,0,30,8,6,0,0,2,19,4,25,0,6,30,32,9,0,16,4,0,1,14,0,Inspector
Tank tester/inspector,0,0,0,0,0,32,0,0,0,0,9,3,0,5,0,0,11,1,30,0,0,0,0,1,0,0,Inspector
Welding inspector,1,5,33,1,0,16,8,8,0,0,2,20,4,31,0,6,28,40,10,0,15,8,0,1,11,0,Inspector
Utility inspector,2,8,40,3,0,45,8,8,0,0,3,21,4,26,0,7,34,45,26,0,21,8,0,1,19,0,Inspector
Construction inspector,0,2,5,1,0,24,9,6,0,0,2,14,4,10,0,6,18,22,5,0,14,4,0,1,16,0,Inspector
Coating inspector,0,0,0,0,0,0,0,0,0,0,1,7,0,8,0,0,2,5,0,0,1,0,0,1,0,0,Inspector
Safety codes inspector (also known as: Safety codes officer),0,0,3,0,0,9,9,13,0,0,3,10,4,10,0,0,13,7,5,0,7,13,0,1,3,0,Inspector
Asset performance manager,0,6,8,19,0,12,8,6,0,0,8,16,4,22,0,6,37,25,11,0,15,4,0,1,17,0,Manager
Plant manager,3,12,36,72,6,74,2,1,2,1,15,13,0,25,0,0,6,3,1,0,2,1,0,4,18,0,Manager
Fleet manager,1,5,3,0,0,25,1,0,0,0,7,2,1,9,8,7,9,0,3,0,7,5,57,1,1,0,Manager
Dual fuel heavy duty mechanic,0,1,0,0,0,8,0,3,0,0,4,4,0,5,0,0,40,0,2,0,2,2,0,1,7,0,Mechanic
Locomotive mechanic (shop and field),0,13,1,0,3,15,0,3,0,6,4,3,0,5,0,0,45,2,0,0,1,2,1,1,18,0,Mechanic
Maintenance trade - Electromechanical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Mechanic
Heavy duty mechanic,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,3,0,0,Mechanic
Maintenance trade - Mechanical,2,1,9,4,8,114,0,13,0,0,68,32,1,68,3,15,104,52,31,0,22,9,0,6,5,0,Mechanic
Plant operator,3,18,30,52,6,2,8,1,1,3,0,13,3,25,0,0,5,0,0,0,2,0,0,4,14,0,Operator
Station operator - Compression,0,0,0,1,0,6,0,0,0,1,10,3,0,5,0,0,4,0,50,0,0,0,0,1,0,0,Operator
Well completions operators,1,0,4,6,0,0,0,3,0,0,0,19,2,20,0,0,9,12,1,0,1,0,0,1,10,0,Operator
Well completions operator,1,0,0,2,2,0,0,3,8,0,0,11,2,4,0,0,0,1,0,0,8,0,0,0,3,0,Operator
Station operator - Pump,0,0,0,0,1,0,0,0,0,0,4,4,0,4,0,1,8,0,0,0,8,0,0,0,0,0,Operator
Station operator- Compression,0,0,0,0,1,2,0,2,0,0,0,11,0,10,0,0,6,2,34,0,5,0,0,0,0,0,Operator
Transit operator,2,9,2,0,3,6,0,0,0,0,11,6,4,6,6,9,11,0,0,0,0,3,3,1,11,14,Operator
Utility operator,1,2,2,2,0,5,0,0,0,0,0,8,3,14,0,1,2,4,11,0,3,0,0,1,9,0,Operator
Control centre operator,0,0,0,1,4,0,0,0,0,0,0,9,0,49,0,0,0,0,0,0,7,0,0,2,0,0,Operator
Control room operator,3,10,33,60,6,11,2,1,2,1,0,13,0,25,0,0,6,3,1,0,2,1,0,4,11,0,Operator
Welder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Other
"Truck drivers â€“ Class 1 & 3 Transport, freight, delivery/courier",2,9,2,0,3,6,0,0,0,0,11,6,4,6,6,9,11,0,0,0,0,3,3,1,11,14,Other
Seismic crew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Other
Production supervisor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Other
Truck Driver - Hydrogen fuel delivery,2,2,1,0,0,0,0,0,0,0,0,2,1,5,2,0,0,0,0,0,0,0,84,1,5,0,Other
Transportation solutions advisor,1,18,20,6,0,15,15,8,0,0,6,13,19,11,0,21,20,25,12,0,24,5,0,1,18,0,Other
Software developer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Other
Service rig crew,2,0,4,8,2,0,0,6,8,0,0,30,4,24,0,0,9,13,1,0,9,0,0,1,13,0,Other
Pipefitters/Steamfitters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Other
Truck driver - Hydrogen delivery,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,Other
Well completions supervisor,2,0,4,8,2,0,0,6,8,0,0,30,4,28,0,0,9,13,1,0,6,0,0,1,13,0,Other
Gas fuser,1,5,25,0,0,0,0,2,0,0,0,14,3,18,0,0,9,11,4,0,3,4,0,1,11,0,Other
"Environment, Social, Governance (ESG) analyst",0,1,2,2,0,0,53,0,0,0,0,6,13,7,0,0,0,0,0,0,0,0,0,1,0,0,Other
Drilling crew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Other
Design - Mechatronics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Other
Data scientist,0,4,0,0,0,0,0,0,0,0,0,3,15,8,2,2,0,0,2,0,10,0,0,0,2,0,Other
Geologist Geophysicist,0,0,0,1,5,0,0,0,0,0,0,8,0,21,0,0,0,0,0,0,12,0,0,0,0,0,Other
Data analyst,0,4,0,0,0,0,0,0,0,0,0,3,15,8,2,2,0,0,2,0,10,0,0,0,2,0,Other
Health & safety advisor,0,0,4,0,0,8,5,0,0,1,0,32,8,12,0,2,11,5,3,0,7,0,0,0,3,0,Other
"Environment, Social, Governance (ESG) leader",0,4,0,3,0,0,36,0,0,0,0,12,12,15,0,0,1,0,1,0,0,0,0,1,0,0,Other
Maintenance planner,6,20,18,35,12,43,6,12,0,2,52,24,4,29,0,12,327,8,93,0,13,25,0,4,20,0,Scheduler (or related profession)
Power scheduler,2,4,5,3,4,2,8,1,0,3,0,4,3,5,0,0,5,0,0,0,0,0,0,1,14,0,Scheduler (or related profession)
Utility services planner,0,2,5,1,0,27,8,6,0,0,2,21,4,17,0,6,20,19,5,0,14,4,0,1,9,0,Scheduler (or related profession)
Pipeline scheduler,0,6,0,1,4,0,0,0,0,0,0,8,12,38,0,1,0,0,2,0,14,0,0,1,4,0,Scheduler (or related profession)
Production scheduler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Scheduler (or related profession)
Logistics coordinator,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,2,0,0,Scheduler (or related profession)
Facility maintenance planner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Scheduler (or related profession)
Environmental specialist,0,0,9,2,0,0,2,6,0,0,0,17,5,9,0,0,6,1,2,0,3,0,0,1,0,0,Specialist
Automation & controls specialist,0,9,30,48,41,0,0,0,0,5,5,19,0,38,0,1,2,0,37,0,2,43,0,6,30,0,Specialist
Sustainability specialist,0,3,12,2,0,0,36,1,0,0,0,7,11,9,0,1,9,4,2,0,5,0,0,1,4,0,Specialist
Business & commercial development specialist,2,9,0,2,0,0,29,6,0,0,0,2,15,10,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Renewable power interconnection specialist,0,4,1,0,0,0,0,0,0,6,0,2,0,5,0,0,0,0,0,0,0,0,0,1,1,0,Specialist
Sourcing specialist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Regulatory analyst and compliance specialist,0,0,12,1,0,0,3,1,0,0,0,6,11,5,0,0,9,4,2,0,5,0,0,1,4,0,Specialist
Materials specialist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Quality control specialist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Measurement specialist,6,34,20,48,17,59,13,0,0,0,0,21,61,59,6,6,2,0,6,0,28,8,0,5,10,0,Specialist
Systems integration specialist,0,4,0,0,0,0,0,0,0,0,0,3,15,8,2,2,0,0,2,0,10,0,0,0,2,0,Specialist
Geologist Geophysicist Geotechnical specialist,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Stakeholder engagement and communications specialist,0,3,0,1,0,0,33,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,1,0,0,Specialist
Indigenous relations specialist,0,15,0,0,0,0,8,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Cybersecurity specialist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Corrosion specialist,0,2,5,1,1,26,8,6,0,0,2,38,4,28,0,6,18,21,6,0,16,4,0,2,9,0,Specialist
Compression specialist,0,0,10,18,9,11,0,0,0,2,28,12,0,19,0,2,24,0,181,0,1,1,0,3,2,0,Specialist
Pipeline integrity specialist,0,0,0,1,7,0,0,0,0,0,0,20,0,48,0,0,70,22,4,0,7,0,0,1,0,0,Specialist
Compliance specialist (also known as: Controls specialist),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Specialist
Government relations specialist,0,3,0,2,0,0,55,0,0,0,0,3,16,11,0,1,0,0,0,0,0,0,0,1,0,0,Specialist
Hydrogen integration specialist,2,5,39,2,0,58,34,12,0,9,10,33,8,26,0,15,81,39,18,0,28,8,0,4,30,0,Specialist
"CNC fabrication technician (also known as: CNC operator, CNC programmer, Manufacturing technician)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technician
Utility services technician,1,3,13,3,0,26,8,6,0,0,3,19,4,20,0,7,22,24,13,0,14,4,0,1,16,0,Technician
Test technician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technician
Cylinder technician,0,0,0,0,0,32,0,0,0,0,9,3,0,5,0,0,11,1,30,0,0,0,0,1,0,0,Technician
Assembly technician (also known as: Production worker),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technician
Cathodic protection technician,1,0,0,0,0,10,0,1,0,0,0,5,0,6,0,0,4,3,0,0,0,0,0,1,1,0,Technician
Maintenance trade - Instrumentation technician,0,0,0,3,0,7,0,0,0,0,4,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,Technician
Fuel cell electric vehicle (FCEV) technician,0,16,2,0,3,17,0,3,0,6,4,3,1,5,0,0,45,7,4,0,2,2,1,1,21,0,Technician
Maintenance technician - Electrical & mechanical,0,0,0,0,0,22,0,0,0,0,11,2,0,5,0,4,6,0,0,0,2,18,0,1,0,0,Technician
Maintenance technician - Compression,0,0,0,0,0,15,0,0,0,0,0,2,0,5,0,0,14,0,17,0,0,6,0,1,0,0,Technician
Non-destructive (NDE) inspector and technician,0,2,8,1,0,30,8,6,0,0,2,19,4,25,0,6,30,32,9,0,16,4,0,1,14,0,Technician
Lab technician,0,8,21,54,2,0,0,0,2,0,0,9,0,20,0,0,0,0,0,0,2,0,0,3,0,0,Technician
Service technician,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,Technician
Pipeline technician - Mechanical,0,0,2,0,13,36,0,0,0,0,6,7,0,9,0,5,4,0,0,0,8,0,0,1,0,0,Technician
Pipeline technician- Electrical & instrumentation,0,0,0,0,0,13,0,0,0,3,0,2,0,5,0,0,2,0,0,0,0,0,0,1,0,0,Technician
Pipeline technician - Electrical & Instrumentation,0,0,2,0,4,2,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0,0,0,0,0,Technician
"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",2,8,38,3,0,31,8,8,0,0,3,20,4,25,0,7,34,39,26,0,21,8,0,1,19,0,Technician
"Gasfitter (also known as: Gas technician, Customer service technician, Gas Servicer)",2,8,40,3,0,45,8,8,0,0,3,21,4,26,0,7,34,45,26,0,21,8,0,1,19,0,Technician
Maintenance trade - Instrumentation & controls (also known as: Automation technician),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technician
Fueling station technician,0,0,0,0,0,25,0,0,0,0,3,2,0,5,0,0,0,0,12,0,0,0,0,1,2,0,Technician
Sampling and analysis technician,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0,0,0,0,0,Technician
Instrumentation technician,0,0,0,0,1,13,0,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,Technician
Reservoir technologist,6,2,0,1,11,19,0,2,0,0,0,20,2,28,0,8,1,2,9,0,29,0,0,1,1,0,Technologist
Maintenance trade - Electrical,0,0,7,4,4,27,0,0,0,38,31,11,0,24,0,0,0,0,0,0,1,3,0,4,9,0,Trade
Maintenance trade - Electrical & Instrumentation,0,0,0,0,0,11,0,0,0,5,4,2,0,5,0,1,0,0,0,0,0,0,0,1,2,0,Trade
Maintenance trades - Electrical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Trade
Maintenance trade - Instrumentation & control,0,0,0,0,0,23,0,0,0,0,3,2,0,5,0,0,0,0,0,0,0,3,0,1,4,0,Trade
Maintenance trade - Instrumentation & controls,0,0,0,3,1,34,0,0,0,5,8,7,0,14,0,0,0,0,0,0,1,0,0,2,2,0,Trade
