skill_id,skill,Cluster_Threshold_0.5,Cluster_Threshold_1.0,Cluster_Threshold_1.5,Cluster_Threshold_2.0,Cluster_Threshold_2.5,Cluster_Threshold_3.0,Cluster_Threshold_3.5,Cluster_Threshold_4.0,Cluster_Threshold_4.5,Cluster_Threshold_5.0,Cluster_Threshold_5.5,Cluster_Threshold_6.0,Cluster_Threshold_6.5,Cluster_Threshold_7.0,Cluster_Threshold_7.5,Cluster_Threshold_8.0,Cluster_Threshold_8.5,Cluster_Threshold_9.0,Cluster_Threshold_9.5,Cluster_Threshold_10.0
1,Experience with hydrogen fueling equipment and systems,218,75,31,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
2,Experience with on-site hydrogen generation,223,76,31,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
3,Experience with hydrogen compression,104,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
4,Experience with hydrogen cooling systems,209,71,29,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
5,Experience with hydrogen storage,205,70,29,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
6,Experience with hydrogen dispensing,212,72,30,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
7,Knowledge of hydrogen technologies,201,69,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
8,Understanding the socio-economic benefits of hydrogen,26,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Understanding the environmental benefits of hydrogen,27,11,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Understanding hydrogen's role in addressing climate change,19,8,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,Knowledge of key instrumentation for hydrogen pipelines,245,85,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
12,Knowledge of electrical equipment for hydrogen pipelines,246,85,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
13,Knowledge of systems associated with hydrogen pipeline transmission,247,85,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
14,Knowledge of compression systems in hydrogen pipelines,106,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
15,Knowledge of materials to protect from hydrogen corrosion,154,52,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
16,Knowledge of coatings for hydrogen corrosion protection,159,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
17,Knowledge of inhibitors for hydrogen corrosion protection,155,53,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
18,Correct application techniques for corrosion protection,149,50,20,12,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
19,Knowledge of materials to protect from hydrogen corrosion,154,52,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
20,Knowledge of coatings to protect from hydrogen corrosion and embrittlement,159,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
21,Knowledge of inhibitors to protect from hydrogen corrosion and embrittlement,155,53,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
22,Knowledge of embrittlement-specific protection strategies,437,159,66,37,23,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
23,Design of compression systems for hydrogen pressure,110,34,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
24,Selection of compression systems for hydrogen fueling,108,34,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
25,Consideration of pressure requirements in hydrogen fueling systems,139,46,19,11,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
26,Consideration of temperature requirements in hydrogen fueling systems,140,46,19,11,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
27,Appropriate selection of stationary equipment for hydrogen pipeline transmission,243,84,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
28,Appropriate selection of rotating equipment for hydrogen pipeline transmission,244,84,35,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
29,Maintenance of stationary equipment in hydrogen pipeline systems,286,98,42,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
30,Maintenance of rotating equipment in hydrogen pipeline systems,286,98,42,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
31,Knowledge of hydrogen refueling systems,178,62,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
32,Operation of hydrogen dispensing systems,210,72,30,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
33,Safety procedures during hydrogen refueling,180,62,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
34,Maintenance of hydrogen refueling equipment,183,64,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
35,Understanding the chemical properties of hydrogen in a gaseous state,12,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,Understanding the physical characteristics of gaseous hydrogen,12,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,Understanding the behavior of hydrogen in gaseous form,13,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,Understanding of hydrogen technologies,199,69,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
39,Understanding the economic advantages of hydrogen,26,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,Understanding the economic disadvantages of hydrogen,26,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,Understanding the social advantages of hydrogen,25,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,Understanding the social disadvantages of hydrogen,25,10,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,Understanding of combined-cycle power generation,462,173,74,40,25,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
44,Understanding of hydrogen blending in power generation,68,24,8,5,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
45,Understanding the operational implications of hydrogen blending in combined-cycle power generation,69,24,8,5,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
46,Understanding the environmental impacts of hydrogen blending in power generation,70,24,8,5,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
47,Knowledge of appropriate materials for hydrogen systems,195,68,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
48,Knowledge of appropriate seals for hydrogen systems,124,42,17,9,8,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
49,Knowledge of appropriate coatings for hydrogen systems,161,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
50,Appropriate selection of pressure vessels for hydrogen fueling,142,46,19,11,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
51,Appropriate selection of piping systems and fittings for hydrogen fueling,117,39,15,8,7,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
52,Appropriate selection of valves and seals for hydrogen fueling systems,127,43,17,9,8,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
53,Appropriate selection of coatings and insulation for hydrogen fueling systems,156,54,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
54,Maintenance of pressure vessels in hydrogen fueling systems,278,96,41,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
55,"Maintenance of piping systems, valves, and fittings in hydrogen fueling systems",285,98,42,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
56,Maintenance of coatings and insulation in hydrogen fueling systems,156,54,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
57,Knowledge of materials to protect from hydrogen corrosion,154,52,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
58,Knowledge of coatings to protect from hydrogen corrosion,159,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
59,Knowledge of inhibitors to protect from hydrogen corrosion,155,53,21,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
60,Correct application techniques for corrosion protection,149,50,20,12,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
61,Understanding general safety protocols for working with hydrogen,36,14,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,Understanding safety measures in hazardous areas involving hydrogen,35,14,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,Understanding personal protective equipment (PPE) requirements for hydrogen work,213,73,31,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
64,Understanding safety in handling and storage of hydrogen,34,14,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,Knowledge of control systems in electrolyzer hydrogen production plants,191,67,27,17,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
66,Knowledge of advanced control systems for process optimization,177,61,25,15,11,6,6,5,3,2,1,1,1,1,1,1,1,1,1,1
67,Knowledge of monitoring systems for electrolyzer hydrogen production plants,191,67,27,17,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
68,Understanding of safety protocols in electrolyzer control systems,394,139,59,33,19,11,9,8,5,4,3,3,2,2,2,2,2,2,2,1
69,Understanding the use of odorants for hydrogen leak detection,235,81,33,20,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
70,Selection of appropriate odorants for hydrogen systems,94,30,10,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
71,Understanding safety considerations when using odorants in hydrogen systems,96,30,10,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
72,Understanding leak detection techniques involving odorants,236,81,33,20,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
73,Appropriate selection of materials to withstand hydrogen pressure,133,45,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
74,Appropriate selection of materials to withstand hydrogen temperatures,134,45,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
75,Selection of equipment designed to withstand hydrogen pressure,135,45,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
76,Selection of equipment designed to withstand hydrogen temperatures,136,45,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
77,Maintenance of materials and equipment used in high-pressure hydrogen systems,272,94,40,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
78,Maintenance of materials and equipment used in high-temperature hydrogen systems,272,94,40,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
79,Understanding electrochemical reactions in PEM electrolyzers,384,136,57,32,19,11,9,8,5,4,3,3,2,2,2,2,2,2,2,1
80,Understanding the process of hydrogen production using PEM electrolyzers,380,135,57,32,19,11,9,8,5,4,3,3,2,2,2,2,2,2,2,1
81,Knowledge of key components in PEM electrolyzers,383,136,57,32,19,11,9,8,5,4,3,3,2,2,2,2,2,2,2,1
82,Understanding process optimization for hydrogen production in PEM electrolyzers,380,135,57,32,19,11,9,8,5,4,3,3,2,2,2,2,2,2,2,1
83,Understanding the properties and characteristics of hydrogen in a gaseous state,12,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,Understanding the properties and characteristics of hydrogen in a liquid state,14,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,Comparing the properties of gaseous vs. liquid hydrogen,15,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,Understanding the behavior of hydrogen under different temperature and pressure conditions,130,44,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
87,Understanding of combined-cycle power generation,462,173,74,40,25,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
88,Understanding the principles of hydrogen-blending in power generation,68,24,8,5,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
89,Understanding operational adjustments needed for hydrogen-blending,91,29,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
90,Understanding the environmental and regulatory aspects of hydrogen-blending,92,29,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
91,Advanced understanding of general safety protocols for hydrogen,36,14,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,Advanced understanding of safety measures in hazardous hydrogen areas,35,14,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,Advanced understanding of personal protective equipment (PPE) for hydrogen environments,213,73,31,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
94,Advanced understanding of safety in handling and storage of hydrogen,34,14,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,Understanding the principles of hydrogen compression,103,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
96,Knowledge of various hydrogen compression technologies,105,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
97,Understanding the role of compression in hydrogen storage,103,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
98,Knowledge of safety considerations in hydrogen compression processes,107,33,12,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
99,Selection of materials for hydrogen blending,86,27,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
100,Selection of coatings for hydrogen blending,85,27,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
101,Selection of odorants for hydrogen blending,95,30,10,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
102,Selection of inhibitors for hydrogen blending,93,29,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
103,Understanding how materials behave under high pressure hydrogen conditions,131,44,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
104,Understanding the impact of high pressure on material integrity,378,133,56,31,18,10,8,7,4,3,2,2,2,2,2,2,2,2,2,1
105,Understanding the risk of hydrogen embrittlement in high pressure environments,128,44,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
106,Understanding safety protocols related to material behavior in high pressure hydrogen environments,129,44,18,10,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
107,Maintenance of ventilation systems for hydrogen blending,100,32,11,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
108,Maintenance of leak detection systems for hydrogen blending,232,80,33,20,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
109,Maintenance of flame detection systems for hydrogen blending,99,31,11,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
110,Maintenance of corrosion prevention equipment and systems,150,51,20,12,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
111,Knowledge of fuel cell technology,412,146,61,35,21,13,10,9,5,4,3,3,2,2,2,2,2,2,2,1
112,Knowledge of different types of fuel cells,409,146,61,35,21,13,10,9,5,4,3,3,2,2,2,2,2,2,2,1
113,Understanding of fuel cell components and processes,406,145,61,35,21,13,10,9,5,4,3,3,2,2,2,2,2,2,2,1
114,Understanding of hydro-electric power trains,463,174,74,40,25,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
115,Appropriate selection and design of electrolyzers for hydrogen pressure and temperatures,190,66,27,17,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
116,Appropriate selection and design of pressure vessels to withstand hydrogen pressure and temperatures,143,47,19,11,9,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
117,Appropriate selection and design of compressors to withstand hydrogen pressure and temperatures,113,36,13,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
118,Appropriate selection and design of piping systems and fittings to withstand hydrogen pressure and temperatures,117,39,15,8,7,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
119,Appropriate selection and design of valves and seals to withstand hydrogen pressure and temperatures,126,43,17,9,8,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
120,"Maintenance of electrolyzers, vessels, compressors, piping systems, valves, and seals to withstand hydrogen pressure and temperatures",283,97,42,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
121,Management of hydrogen fueling stations,185,64,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
122,Maintenance of hydrogen fueling station equipment,184,64,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
123,Continuous improvement of hydrogen fueling station operations,185,64,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
124,Maintenance and management of mobile hydrogen fueling systems,186,64,26,16,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
125,Understanding the principles of hydrogen blending for heating,89,28,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
126,Understanding the impact of hydrogen blending on heating systems,89,28,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
127,Understanding safety considerations for hydrogen blending in heating systems,90,28,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
128,Understanding efficiency and performance factors when using hydrogen blending for heating,89,28,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
129,Understanding of coatings effective against hydrogen corrosion,159,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
130,Understanding of coatings effective against hydrogen embrittlement,162,55,22,13,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
131,Knowledge of correct application techniques for protective coatings,147,49,20,12,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
132,Knowledge of maintaining coatings to ensure long-term protection,148,49,20,12,10,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1
133,Understanding of hydrogen technologies,199,69,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
134,Understanding the cost aspects of hydrogen technologies,200,69,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
135,Understanding the carbon impact of hydrogen technologies,28,11,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,"Evaluating project feasibility against commercial, technical, and non-technical requirements",440,161,67,37,23,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
137,Knowledge of relevant codes for hydrogen fueling station equipment,55,20,7,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,Knowledge of industry standard processes for hydrogen fueling stations,46,16,7,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,Knowledge of hydrogen production technology,201,69,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
140,Knowledge of distribution systems for hydrogen,59,22,7,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,Knowledge of hydrogen dispensing systems,211,72,30,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
142,Understanding how to match hydrogen technology with the needs of different fleets,63,22,7,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,Process engineering skills specific to hydrogen,221,76,31,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
144,Conducting hazard risk analysis and reviews,435,158,66,37,23,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
145,Mechanical integrity analysis for hydrogen systems,275,94,40,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
146,Instrumented system analysis for hydrogen processes,242,83,34,21,13,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
147,Conducting operation readiness inspections,433,156,66,37,23,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
148,Knowledge of compression equipment for hydrogen blending,83,26,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
149,Knowledge of turbine systems used in hydrogen blending,78,26,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
150,Knowledge of combustion systems in hydrogen blending,98,31,11,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
151,Understanding of other relevant equipment for hydrogen blending,87,27,9,6,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
152,Assess integrity of vessels and tanks for hydrogen pressure and temperatures,277,95,41,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
153,Assess integrity of piping systems and fittings,118,40,16,8,7,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
154,Assess integrity of valves and seals,123,41,17,9,8,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1
155,Conducting comprehensive integrity assessments,434,157,66,37,23,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
156,Maintenance of vessels for hydrogen pressure and temperatures,276,95,41,24,15,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
157,Maintenance of compressors for hydrogen systems,114,37,14,7,6,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
158,Maintenance of turbines in hydrogen systems,257,91,38,23,14,8,6,5,3,2,1,1,1,1,1,1,1,1,1,1
159,"Maintenance of piping systems, fittings, valves, and seals",422,151,63,36,22,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
160,Advanced knowledge of hydrogen chemical and physical properties,197,68,28,18,12,7,6,5,3,2,1,1,1,1,1,1,1,1,1,1
161,Advanced understanding of hydrogen behavior,11,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,Advanced understanding of potential hazards created by hydrogen,32,13,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,Develop a business case for hydrogen projects,30,12,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,Presenting business cases to relevant stakeholders,441,162,67,37,23,14,10,9,5,4,3,3,2,2,2,2,2,2,2,1
